plate,review_reason_code,customer_meaning,reviewer_comments,status
BATBOX1,1,BATMOBILE (BATMAN) PLUS SHAPE OF VEHICLE (SCION XB),BOX,N
BBOMBS,2,NO MICRO AVAILABLE,BOMBS,N
BOT TAK,,THIS IS IT,CAN NOT TRANSLATE,N
CHERIPI,1,CHERRY PIE,CHERRY PIE,N
DMOBGFY,2,GREEK SLANG FOR I LOVE YOU,MOB,N
EGGPUTT,2,NO MICRO AVAILABLE,SLANG FOR FAT GUY PER URBAN DICTIONARY,Y
FJ 666,2,FJ IS MY BORN CITY.666IS MY LUCKLY NUMBER,666 EVIL,Y
FLT ATCK,2,NO MICRO AVAILABLE,FLAT ATTACK,N
HVNNHEL,2,ALBUM TITLE,HEAVEN AND HELL,Y
ILL NKA,2,"""ILL"" POPULAR TERM IN THE 90'S MEANING COOL. ""NKA"" SHORTER FOR MY NICKNAME 'NEIKA'.",ILL NIGGA,N
JIMENZ5,2,LAST NAME,JIMENEZ,REMOVE
MMA515O,2,MIXED MARTIAL ARTS,5150 CRAZY,Y
MTN SCAT,2,MOUNTAIN SCAT PACK,SCAT SHIT,N
OAK KLAN,2,CITY I GREW UP IN.,KLAN,N
PORKS15,5,NO MICRO AVAILABLE,PORKS PIG,N
POT POM,2,NO MICRO AVAILABLE,POT,N
ROBO 911,5,ROBO IS MY NICK NAME AND 911 FOR THE CAR ITS GOING ON,911 EMERGENCY,N
SHTYMNI,2,SHORTY MINI,SHITTY MINI,N
173D82D,2,NO MICRO AVAILABLE,CAN NOT TRANSLATE,Y
67 PINK,1,NO MICRO AVAILABLE,PINK,N
707IRON,2,WEIGHT TRAINING REFERENCE SONOMA COUNTY,707 AREA CODE,N
DAD$PP,2,MY DAD LOVES ME AND GOT ME A NEW CAR,PP AS IN URINE,N
FN2IB7,2,FN2187 IS A STAR WARS CHARACTER AND I AM A VETERAN,LOOKS LIKE EFFIN,N
CAN BITE,1,NO MICRO AVAILABLE,CAN BITE,N
KILLAHB,2,LOVE THE MOVIE,KILLAH B,N
KILLAHW,2,LOVE THE MOVIE,KILLA,N
NO GAS X,2,ALL ELECTRIC CAR MODEL X,GAS,Y
TTNISMO,2,TWIN TURBO NISMO,TT AS IN BREAST,Y
1FD MOM,1,ONE FIRE DEPARTMENT MOM,FD LOOKS LIKE EFFED,N
HB 707,2,MOTORCYCLE CLUB,707 AREA CODE,N
C4 MILES,7,SEE FOR MILES,SEE FOR MILES… C4-BOMB,N
DNKY PCH,1,DOWN COUNTRY PUNCH IS A DRINK THAT MY FAMILY MAKES AND IS KNOWN FOR,DONKEY PUNCH,N
GUN4HYR,7,A CONSTRUCTION WORKER THAT FOLLOWS THE MONEY AND JUMPS FROM COMPANY TO COMPANY,GUN FOR HIRE,N
LYFISHT,3,LIFE IS SHORT,LIFE IS SHIT,N
MZ MOLY,7,THIS IS MY CARS NAME. SHE IS A 38 YEAR OLD STRAWBERRY BLONDE GIRL. MOLY,MOLLY…. ECSTASY,N
OG PLAY,7,CHILDHOOD NICKNAME,OG,N
OG RICE,7,OLD GUARD RICE,OG,N
RAJO42O,7,NAME MONTH DAY CAME TO AMERICA,420-WEED,N
RMBO562,7,RAMBO IS MY NICKNAME FROM WHEN IW AS A CHILD. EVERYONE KNOWS ME AS RAMBO. 562 IS MY AREA CODE FROM LONG BEACH,562 CUSTOMERS AREA CODE,N
UBRS 51O,7,UBER IS MY INTERNET LOG ON AND 510 IS THE MODEL OF MY CAR,510 CA AREA CODE,N
VTARDED,4,CADILLAC MODEL CTS-V. VERY FAST,TARDED… RETARDED?,N
YR ONE69,1,YEAR OF MY 1969 CAMARO,COULDN'T VERIFY 1969,N
1LOWPIG,4,"THIS LICENSE PLATE WILL BE PLACED ON A DAILY DRIVEN SHOW TRUCK NAMED ""THE RED PIG"" USED FOR SHOW COVERAGE AND MAGAZINE PURPOSES",PIG,N
619 BSBL,7,"619 IS THE AREA CODE OF SAN DIEGO, AND BSBL STANDS FOR BASEBALL. THIS PLATE IS REPRESENTING THE SAN DIEGO PADRES, A PRO BASEBALL TEAM.",619 CA AREA CODE,N
69TRIKE,1,1969 TRICYCLE,COULDN'T VERIFY 1969,N
GIGGEDY,1,"FAMILY GUY, QUAGMIRE ALWAYS SAYS GIGGITY GUE",INNUENDO,N
MRDRVAN,7,MISTER DOCTOR VAN,MURDER VAN,N
TOPNUGS,7,TOP NUGS. TOP BRAINS. MY TWIN DAUGHTERS ARE TOP STUDENTS IN THEIR CLASS.,NUGS-WEED,N
U 2 HIGH,7,MY CAR IS LOWERED SO OTHER PEOPLES CARS ARE WAY HIGHER THAN MINE,ON DRUGS?,N
2BG NUGZ,7,TWO BIG NUGS. TWO BIG BRAINS. MY TWIN DAUGHTERS BOTH SKIPPED 8TH GRADE.,NUGS-WEED,N
BBONGCO,7,NO MICRO,BONG IS SOMETHING YOU SMOKE MARIJUANA IN,N
F1OO183,7,NO MICRO,OLD PLACARD NUMBER,N
69CRZIN,1,NO MICRO,NO 69 CAR,N
CRPLHLR,2,NO MICRO,CRIPPLE HEALER?,N
CRPPL4X,2,NO MICRO,CRIPPLE? SAME GUY AS ABOVE,N
FISH HRD,1,NO MICRO,HARD?,N
GAZ1969,7,NO MICRO,NO 1969 VEHICLE,N
HAWT DAM,3,NO MICRO,HOT DAMN,N
TINAS 7O,7,NAME IS TINA. GOING ON A 197O BRONCO,COULDN'T VERIFY TINA OR A 1970 VEHICLE,N
FAT NUT,1,FAT NUT,LARGE EJACULATION,N
HUNTMOM,7,I AM HUNTER'S MOTHER,HUNT MOM. HUNTER'S MOM?,N
NOTARY G,7,NO MICRO,G,N
D JERK,2,MY WIFE CALLS ME THAT ITS MY NICK NAME,LOOKS LIKE DA JERK,N
GABECAT,1,GABRIEL CATHY,"NO VEHICLE SHOWN IN ANI FOR HELLCAT, OR JAG ETC",N
HEMICYD,2,,LOOKS LIKE HOMICIDE,N
HIGHBOI,2,,LOOKS LIKE HIGH AS IN ON DRUGS,N
LH 562,2,,562 AREA CODE,N
N5A1BOT,2,VIDEO GAME REFERENCE,510 AREA CODE,N
OUTHOUS,2,OUT HOUSE - FOR RV,AN OUT HOUSE IS USED FOR USING THE RESTROOM,Y
SIX5O,2,650 BMW,650 AREA CODE,Y
SIX6XI,2,,666 MARK OF THE BEAST THE DEVIL EVIL,Y
STR8 KLS,2,,STRAIGHT KILLS,N
SUPR POO,2,,SUPER POO,N
XO1OHO,1,NO MEANING,HO LOOKS LIKE HOE,N
1DOPE S5,2,ITS A COOL AUDI S5,DOPE COULD MEAN NICE OR BE A DRUG REFERENCE,Y
4O8RD8R,2,THE LICENSE PLATE SIGNIFIES MY HOMETOWN SAN JOSE AND MY FAVORITE NFL TEAM THE RAIDERS.,408 RAIDER,N
5HUNWYS,2,500 WAYS,500 HUNDRED WAYS,Y
7O7 PLUS,2,707 HORSEPOWER PLUS A LITTLE MORE,707 AREA CODE,Y
GAYMUR,4,AM A GAY MAN WHO LOVES PLAYING VIDEO GAMES (GAY GAYMER),LOOKS LIKE HE IS SAYING GAMER BUT HE IS USING GAY.. COULD BE TAKEN OFFENSIVLY,Y
$R TOES,1,LOVE HER TOES,LOVE HER TOES,Y
HDST76O,2,HIGH DESERT 760,760 AREA CODE,N
IYAOYAS,4,"IF YOU AIN'T ORDNANCE, YOU AIN'T SPECIAL. (IT'S A USMC ACRONYM.)",IF YOU AINT ORDINANCE YOU AINT SHIT.. A MILITARY TERM,N
KISNKUZ,1,KISSING BECAUSE,KISSING COUSINS,N
LJEFFE,2,NICKNAME FOR VEHICLE,EL JEFE THE BOSS,N
REDROCK,2,THE COLOR OF THE CAR,RED,Y
SHZAKLA,2,SHEZAKILLA,SHE'S A KILLA,N
UHL CURSE,2,,YOULL CURSE,N
2 BLUE IZ,2,TO BLUE EYES,BLUE,Y
