country_id,Name,pub,Genre
533,Aruba,Electronic Arts,Action
4,Afghanistan,Electronic Arts,Action
24,Angola,Electronic Arts,Action
660,Anguilla,Electronic Arts,Action
248,Aland,Electronic Arts,Action
8,Albania,Electronic Arts,Action
20,Andorra,Electronic Arts,Action
784,United Arab Emirates,Electronic Arts,Action
32,Argentina,Electronic Arts,Action
51,Armenia,Electronic Arts,Action
16,American Samoa,Electronic Arts,Action
10,Antarctica,Electronic Arts,Action
260,French Southern and Antarctic Lands,Electronic Arts,Action
28,Antigua and Barbuda,Electronic Arts,Action
36,Australia,Electronic Arts,Action
40,Austria,Nintendo,Action
31,Azerbaijan,Electronic Arts,Action
108,Burundi,Electronic Arts,Action
56,Belgium,Nintendo,Action
204,Benin,Electronic Arts,Action
854,Burkina Faso,Electronic Arts,Action
50,Bangladesh,Electronic Arts,Action
100,Bulgaria,Nintendo,Action
48,Bahrain,Electronic Arts,Action
44,"Bahamas, The",Electronic Arts,Action
70,Bosnia and Herzegovina,Electronic Arts,Action
652,St-Barthélemy,Electronic Arts,Action
112,Belarus,Electronic Arts,Action
84,Belize,Electronic Arts,Action
60,Bermuda,Electronic Arts,Action
68,Bolivia,Electronic Arts,Action
76,Brazil,Electronic Arts,Action
52,Barbados,Electronic Arts,Action
96,Brunei,Electronic Arts,Action
64,Bhutan,Electronic Arts,Action
72,Botswana,Electronic Arts,Action
140,Central African Republic,Electronic Arts,Action
124,Canada,Nintendo,Action
756,Switzerland,Electronic Arts,Action
152,Chile,Electronic Arts,Action
156,China,Electronic Arts,Action
384,Côte d'Ivoire,Electronic Arts,Action
120,Cameroon,Electronic Arts,Action
180,"Congo, Dem. Rep.",Electronic Arts,Action
178,"Congo, Rep.",Electronic Arts,Action
184,Cook Islands,Electronic Arts,Action
170,Colombia,Electronic Arts,Action
174,Comoros,Electronic Arts,Action
132,Cape Verde,Electronic Arts,Action
188,Costa Rica,Nintendo,Action
192,Cuba,Nintendo,Action
531,Curaçao,Electronic Arts,Action
136,Cayman Islands,Electronic Arts,Action
196,Cyprus,Electronic Arts,Action
203,Czech Republic,Nintendo,Action
276,Germany,Nintendo,Action
262,Djibouti,Electronic Arts,Action
212,Dominica,Electronic Arts,Action
208,Denmark,Nintendo,Action
214,Dominican Republic,Nintendo,Action
12,Algeria,Electronic Arts,Action
